世帯類型,総数,0-4歳,5-9歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75歳以上
夫婦のみ世帯,15304,8.6,11.9,16.7,16.7,16.5,7.8,8.8,18,10.1,7.9,38.3,19.4,11.5
ひとり親世帯,12383,6.9,11.9,18.1,17.4,17.3,8.1,9.1,18.7,10.8,7.9,37.6,17.7,9.8
一人暮らし,2921,15.3,12,11.2,14.1,13.7,6.2,7.4,15.3,7.5,7.9,41.1,26.2,18.3
高齢夫婦世帯,5600,5.1,6.5,6.2,13.3,21.7,9.4,12.3,29.7,15.8,13.9,59.5,31.4,17.5
高齢単身世帯,3143,4.8,12.5,16.4,21.7,20.2,9.8,10.3,16,10.1,5.8,34.7,14.2,8.3
高齢者世帯（全体）,2316,2.6,20,37.2,22.8,8.4,4.6,3.9,5,3.2,1.9,12.9,5.8,4
